Card Name,Category,Format Era,Signal Weight,Notes
Arceus & Dialga & Palkia-GX (ADP),Aggressive,2019-2021,0.95,Altered Creation GX permanently increases damage and prizes taken
Zacian V,Aggressive,2020-2022,0.8,Intrepid Sword engine and high base damage
Eternatus VMAX,Aggressive,2020-2022,0.9,"Requires full bench of Dark types, aggressive scaling"
Pikachu & Zekrom-GX,Aggressive,2019-2021,0.9,Fast energy acceleration and multi-prize taking
Path to the Peak,Combo/Control,2021-2024,0.75,"Shuts off Rule Box abilities, slows the game down"
Marnie,Combo/Control,2020-2023,0.7,"Hand disruption (bottom of deck), similar to Iono"
Reset Stamp,Combo/Control,2019-2021,0.85,Late game severe hand disruption based on prizes
Galar Mine,Combo/Control,2020-2023,0.8,"Increases retreat cost, used with trapping abilities"
Lucario & Melmetal-GX,Combo/Control,2019-2021,0.85,Full Metal Wall GX permanently reduces damage taken
Oranguru (Primate Wisdom),Combo/Control,2020-2022,0.6,Deck stacking to avoid disruption or combo with Rotom Phone
Drizzile (Shady Dealings),Engine,2020-2023,0.3,Search any trainer on evolution
Inteleon (Shady Dealings),Engine,2020-2023,0.35,Search up to 2 trainers on evolution
Crobat V,Engine,2020-2023,0.3,Draw until you have 6 cards when benched
Dedenne-GX,Engine,2019-2021,0.3,Discard hand and draw 6 when benched
Jirachi (Stellar Wish),Engine,2019-2021,0.35,Top deck trainer search while in active spot
Scoop Up Net,Engine,2020-2023,0.4,Re-uses abilities on non-V/GX pokemon (Inteleon line)
Evolution Incense,Engine,2020-2023,0.2,Search evolution pokemon (Staple in its era)
Quick Ball,Engine,2020-2023,0.15,"Discard 1, search basic pokemon (Universal in its era)"
Drapion V,Versatile/Toolbox,2022-2024,0.9,Specific counter to Mew VMAX and Strike pokemon
Galarian Zapdos V,Versatile/Toolbox,2021-2023,0.8,"Fighting counter, cost reduced based on opposing Pokemon V"
Amazing Rare Jirachi,Versatile/Toolbox,2020-2022,0.75,"Multi-energy attacker, requires diverse energy acceleration"
Mewtwo & Mew-GX,Versatile/Toolbox,2019-2021,0.85,Copies attacks of any GX or EX in discard pile
